metode;size;bit;pca ;tipe kernel;c;acc
bsif;15x15;6;0,4;linear;10;96,719
bsif;15x15;6;0,4;linear;100;96,719
bsif;17x17;8;0,2;linear;100;96,719
bsif;9x9;9;0,6;linear;10;96,667
bsif;9x9;9;0,6;linear;1;96,667
bsif;11x11;8;1;linear;100;96,667
bsif;11x11;8;1;linear;10;96,667
bsif;11x11;8;1;linear;1;96,667
bsif;15x15;11;0,2;linear;10;96,667
bsif;15x15;11;0,2;linear;100;96,667
bsif;17x17;8;0,2;linear;1;96,667
bsif;13x13;7;0,4;linear;10;96,615
bsif;11x11;7;1;linear;100;96,615
bsif;11x11;7;1;linear;10;96,615
bsif;11x11;7;1;linear;1;96,615
bsif;13x13;7;0,4;linear;1;96,563
bsif;11x11;8;0,8;linear;100;96,563
bsif;11x11;8;0,8;linear;10;96,563
bsif;11x11;8;0,8;linear;1;96,563
bsif;17x17;8;0,2;linear;10;96,563
bsif;9x9;9;0,6;linear;100;96,562
bsif;13x13;7;0,4;linear;100;96,458
bsif;11x11;7;0,8;linear;100;96,458
bsif;11x11;7;0,8;linear;10;96,458
bsif;11x11;7;0,8;linear;1;96,458
bsif;7x7;5;1;linear;100;96,406
bsif;7x7;5;1;linear;10;96,406
bsif;7x7;5;1;linear;1;96,406
bsif;7x7;5;0,8;linear;100;96,406
bsif;7x7;5;0,8;linear;10;96,406
bsif;7x7;5;0,8;linear;1;96,406
bsif;11x11;11;0,4;linear;1;96,354
bsif;11x11;11;0,4;linear;10;96,302
bsif;9x9;11;0,6;linear;1;96,25
bsif;9x9;11;1;linear;100;96,25
bsif;9x9;11;1;linear;10;96,25
bsif;9x9;11;1;linear;1;96,25
bsif;11x11;8;0,6;linear;100;96,198
bsif;11x11;8;0,6;linear;1;96,198
bsif;11x11;11;0,4;linear;100;96,198
bsif;9x9;11;0,6;linear;100;96,198
bsif;9x9;11;0,6;linear;10;96,198
bsif;9x9;11;0,8;linear;100;96,198
bsif;9x9;11;0,8;linear;10;96,198
bsif;9x9;11;0,8;linear;1;96,198
bsif;11x11;8;0,6;linear;10;96,146
bsif;13x13;6;0,4;linear;100;96,146
bsif;13x13;6;0,4;linear;1;96,146
bsif;13x13;6;0,4;linear;10;96,094
bsif;7x7;5;0,6;linear;100;96,094
bsif;7x7;5;0,6;linear;10;96,094
bsif;7x7;5;0,6;linear;1;96,042
bsif;5x5;9;0,6;linear;1;95,938
bsif;11x11;7;0,6;linear;10;95,885
bsif;11x11;7;0,6;linear;1;95,885
bsif;11x11;7;0,6;linear;100;95,885
bsif;5x5;9;1;linear;100;95,781
bsif;5x5;9;1;linear;10;95,781
bsif;5x5;9;1;linear;1;95,781
bsif;5x5;9;0,8;linear;1;95,781
bsif;5x5;9;0,6;linear;100;95,729
bsif;5x5;9;0,6;linear;10;95,729
bsif;5x5;9;0,8;linear;100;95,729
bsif;5x5;9;0,8;linear;10;95,729
bsif;11x11;12;0,4;linear;10;95,729
bsif;11x11;12;0,4;linear;1;95,677
bsif;13x13;5;1;linear;100;95,625
bsif;13x13;5;1;linear;10;95,625
bsif;11x11;12;0,4;linear;100;95,625
bsif;13x13;5;0,8;linear;100;95,573
bsif;13x13;5;0,8;linear;10;95,573
bsif;13x13;5;0,8;linear;1;95,573
bsif;13x13;5;1;linear;1;95,573
bsif;5x5;9;0,4;linear;1;95,417
bsif;9x9;7;0,8;linear;100;95,313
bsif;9x9;7;0,8;linear;10;95,313
bsif;9x9;7;0,8;linear;1;95,313
bsif;9x9;9;0,4;linear;100;95,313
bsif;9x9;9;0,4;linear;10;95,313
bsif;5x5;8;1;linear;1;95,313
bsif;9x9;9;0,4;linear;1;95,26
bsif;9x9;11;0,4;linear;1;95,26
bsif;15x15;7;0,2;linear;1;95,208
bsif;13x13;11;0,2;linear;100;95,208
bsif;13x13;11;0,2;linear;10;95,208
bsif;13x13;11;0,2;linear;1;95,208
bsif;5x5;8;0,8;linear;1;95,208
bsif;5x5;8;1;linear;100;95,208
bsif;5x5;8;1;linear;10;95,208
bsif;9x9;11;0,4;linear;10;95,208
bsif;9x9;11;0,4;linear;100;95,208
bsif;15x15;7;0,2;linear;100;95,156
bsif;15x15;7;0,2;linear;10;95,156
bsif;11x11;8;0,4;linear;100;95,156
bsif;11x11;8;0,4;linear;10;95,156
bsif;11x11;8;0,4;linear;1;95,104
bsif;5x5;8;0,8;linear;100;95,104
bsif;5x5;8;0,8;linear;10;95,104
bsif;9x9;7;1;linear;100;95,052
bsif;9x9;7;1;linear;10;95,052
bsif;9x9;7;1;linear;1;95,052
bsif;9x9;12;0,8;linear;100;95
bsif;9x9;12;0,8;linear;10;95
bsif;9x9;12;0,8;linear;1;95
bsif;11x11;7;0,4;linear;10;95
bsif;9x9;12;1;linear;100;95
bsif;9x9;12;1;linear;10;95
bsif;9x9;12;1;linear;1;95
bsif;15x15;12;0,2;linear;100;94,948
bsif;15x15;12;0,2;linear;1;94,948
bsif;13x13;10;0,2;linear;1;94,948
bsif;5x5;8;0,6;linear;1;94,948
bsif;11x11;7;0,4;linear;100;94,896
bsif;5x5;8;0,6;linear;10;94,896
bsif;5x5;8;0,6;linear;100;94,896
bsif;15x15;8;0,2;linear;1;94,844
bsif;5x5;9;0,4;linear;100;94,792
bsif;11x11;7;0,4;linear;1;94,792
bsif;13x13;5;0,6;linear;1;94,792
bsif;15x15;8;0,2;linear;100;94,74
bsif;15x15;8;0,2;linear;10;94,74
bsif;5x5;9;0,4;linear;10;94,74
bsif;13x13;9;0,2;linear;1;94,74
bsif;13x13;5;0,6;linear;100;94,74
bsif;9x9;12;0,6;linear;1;94,688
bsif;15x15;12;0,2;linear;10;94,688
bsif;13x13;10;0,2;linear;100;94,688
bsif;13x13;10;0,2;linear;10;94,688
bsif;13x13;5;0,6;linear;10;94,687
bsif;15x15;5;0,2;linear;1;94,635
bsif;9x9;12;0,6;linear;10;94,635
bsif;9x9;8;0,8;linear;100;94,635
bsif;9x9;8;0,8;linear;10;94,635
bsif;9x9;8;0,8;linear;1;94,635
bsif;9x9;8;1;linear;100;94,635
