metode;size;bit;pca;tipe kernel;c;acc
mtcd+bsif;11x11;8;1;rbf;100;99,792
mtcd+bsif;11x11;8;0,8;rbf;100;99,792
mtcd+bsif;11x11;8;0,6;rbf;100;99,792
mtcd+bsif;11x11;8;1;rbf;10;99,792
mtcd+bsif;11x11;8;0,8;rbf;10;99,792
mtcd+bsif;11x11;8;0,6;rbf;10;99,792
mtcd+bsif;17x17;9;1;rbf;100;99,792
mtcd+bsif;17x17;9;0,8;rbf;100;99,792
mtcd+bsif;17x17;9;0,6;rbf;100;99,792
mtcd+bsif;17x17;9;0,4;rbf;100;99,792
mtcd+bsif;17x17;9;1;rbf;10;99,792
mtcd+bsif;17x17;9;0,8;rbf;10;99,792
mtcd+bsif;17x17;9;0,6;rbf;10;99,792
mtcd+bsif;17x17;9;0,4;rbf;10;99,792
mtcd+bsif;11x11;10;1;rbf;100;99,792
mtcd+bsif;11x11;10;0,8;rbf;100;99,792
mtcd+bsif;11x11;10;0,6;rbf;100;99,792
mtcd+bsif;11x11;10;0,4;rbf;100;99,792
mtcd+bsif;11x11;10;1;rbf;10;99,792
mtcd+bsif;11x11;10;0,8;rbf;10;99,792
mtcd+bsif;11x11;10;0,6;rbf;10;99,792
mtcd+bsif;11x11;10;0,4;rbf;10;99,792
mtcd+bsif;17x17;12;0,4;rbf;100;99,792
mtcd+bsif;17x17;12;0,4;rbf;10;99,792
mtcd+bsif;17x17;6;1;rbf;100;99,792
mtcd+bsif;17x17;6;0,8;rbf;100;99,792
mtcd+bsif;17x17;6;0,6;rbf;100;99,792
mtcd+bsif;17x17;6;0,4;rbf;100;99,792
mtcd+bsif;17x17;6;1;rbf;10;99,792
mtcd+bsif;17x17;6;0,8;rbf;10;99,792
mtcd+bsif;17x17;6;0,6;rbf;10;99,792
mtcd+bsif;17x17;6;0,4;rbf;10;99,792
mtcd+bsif;17x17;6;1;rbf;1;99,792
mtcd+bsif;17x17;6;0,8;rbf;1;99,792
mtcd+bsif;17x17;6;0,6;rbf;1;99,792
mtcd+bsif;15x15;10;0,2;linear;100;99,792
mtcd+bsif;13x13;9;0,4;rbf;100;99,792
mtcd+bsif;13x13;9;0,4;rbf;10;99,792
mtcd+bsif;13x13;8;0,4;linear;100;99,792
mtcd+bsif;13x13;8;0,4;linear;10;99,792
mtcd+bsif;11x11;5;0,4;linear;100;99,792
mtcd+bsif;11x11;5;0,4;linear;10;99,792
mtcd+bsif;9x9;12;1;linear;100;99,792
mtcd+bsif;9x9;12;0,8;linear;100;99,792
mtcd+bsif;9x9;12;0,6;linear;100;99,792
mtcd+bsif;9x9;12;1;linear;10;99,792
mtcd+bsif;9x9;12;0,8;linear;10;99,792
mtcd+bsif;9x9;12;0,6;linear;10;99,792
mtcd+bsif;9x9;12;1;linear;1;99,792
mtcd+bsif;9x9;12;0,8;linear;1;99,792
mtcd+bsif;9x9;12;0,6;linear;1;99,792
mtcd+bsif;9x9;9;1;linear;100;99,792
mtcd+bsif;9x9;9;0,8;linear;100;99,792
mtcd+bsif;9x9;9;0,6;linear;100;99,792
mtcd+bsif;9x9;9;0,4;linear;100;99,792
mtcd+bsif;9x9;9;1;linear;10;99,792
mtcd+bsif;9x9;9;0,8;linear;10;99,792
mtcd+bsif;9x9;9;0,6;linear;10;99,792
mtcd+bsif;9x9;9;0,4;linear;10;99,792
mtcd+bsif;9x9;9;1;linear;1;99,792
mtcd+bsif;9x9;9;0,8;linear;1;99,792
mtcd+bsif;9x9;9;0,6;linear;1;99,792
mtcd+bsif;9x9;9;0,4;linear;1;99,792
mtcd+bsif;15x15;12;0,6;linear;100;99,792
mtcd+bsif;15x15;12;0,6;linear;10;99,792
