metode;size;bit;pca;tipe kernel;c;acc
bsif+mtcd;11x11;10;0,8;linear;100;99,896
bsif+mtcd;11x11;10;0,6;linear;100;99,896
bsif+mtcd;11x11;10;0,4;linear;100;99,896
bsif+mtcd;11x11;10;-;linear;10;99,896
bsif+mtcd;11x11;10;0,8;linear;10;99,896
bsif+mtcd;11x11;10;0,6;linear;10;99,896
bsif+mtcd;11x11;10;0,4;linear;10;99,896
bsif+mtcd;11x11;10;-;linear;1;99,896
bsif+mtcd;11x11;10;0,8;linear;1;99,896
bsif+mtcd;11x11;10;0,6;linear;1;99,896
bsif+mtcd;11x11;10;0,4;linear;1;99,896
bsif+mtcd;13x13;12;0,4;linear;100;99,896
bsif+mtcd;13x13;12;0,4;linear;10;99,896
bsif+mtcd;13x13;12;0,4;linear;1;99,896
bsif+mtcd;13x13;11;0,4;linear;100;99,896
bsif+mtcd;13x13;11;0,4;linear;10;99,896
bsif+mtcd;13x13;11;0,4;linear;1;99,896
bsif+mtcd;15x15;10;0,2;linear;1;99,896
bsif+mtcd;13x13;9;-;linear;100;99,896
bsif+mtcd;13x13;9;0,8;linear;100;99,896
bsif+mtcd;13x13;9;0,6;linear;100;99,896
bsif+mtcd;13x13;9;0,4;linear;100;99,896
bsif+mtcd;13x13;9;-;linear;10;99,896
bsif+mtcd;13x13;9;0,8;linear;10;99,896
bsif+mtcd;13x13;9;0,6;linear;10;99,896
bsif+mtcd;13x13;9;0,4;linear;10;99,896
bsif+mtcd;13x13;9;-;linear;1;99,896
bsif+mtcd;13x13;9;0,8;linear;1;99,896
bsif+mtcd;13x13;9;0,6;linear;1;99,896
bsif+mtcd;13x13;9;0,4;linear;1;99,896
bsif+mtcd;15x15;9;0,2;linear;10;99,844
bsif+mtcd;15x15;7;-;linear;100;99,844
bsif+mtcd;15x15;7;0,8;linear;100;99,844
bsif+mtcd;15x15;7;0,6;linear;100;99,844
bsif+mtcd;15x15;7;0,4;linear;100;99,844
bsif+mtcd;15x15;7;-;linear;10;99,844
bsif+mtcd;15x15;7;0,8;linear;10;99,844
bsif+mtcd;15x15;7;0,6;linear;10;99,844
bsif+mtcd;15x15;7;0,4;linear;10;99,844
bsif+mtcd;15x15;7;-;linear;1;99,844
bsif+mtcd;15x15;7;0,8;linear;1;99,844
bsif+mtcd;15x15;7;0,6;linear;1;99,844
bsif+mtcd;15x15;7;0,4;linear;1;99,844
bsif+mtcd;17x17;10;-;rbf;100;99,844
bsif+mtcd;17x17;10;0,8;rbf;100;99,844
bsif+mtcd;17x17;10;0,6;rbf;100;99,844
bsif+mtcd;17x17;10;0,4;rbf;100;99,844
bsif+mtcd;17x17;10;0,2;rbf;100;99,844
bsif+mtcd;17x17;10;-;rbf;10;99,844
bsif+mtcd;17x17;10;0,8;rbf;10;99,844
bsif+mtcd;17x17;10;0,6;rbf;10;99,844
bsif+mtcd;17x17;10;0,4;rbf;10;99,844
bsif+mtcd;17x17;10;0,2;rbf;10;99,844
bsif+mtcd;17x17;11;-;rbf;1;99,844
bsif+mtcd;17x17;11;0,8;rbf;1;99,844
bsif+mtcd;17x17;11;0,6;rbf;1;99,844
bsif+mtcd;17x17;11;0,4;rbf;1;99,844
bsif+mtcd;15x15;9;-;rbf;1;99,844
bsif+mtcd;15x15;9;0,8;rbf;1;99,844
bsif+mtcd;15x15;9;0,6;rbf;1;99,844
bsif+mtcd;15x15;10;0,4;rbf;1;99,844
bsif+mtcd;13x13;12;-;rbf;100;99,844
bsif+mtcd;13x13;12;0,8;rbf;100;99,844
bsif+mtcd;13x13;12;0,6;rbf;100;99,844
bsif+mtcd;13x13;12;-;rbf;10;99,844
bsif+mtcd;13x13;12;0,8;rbf;10;99,844
bsif+mtcd;13x13;12;0,6;rbf;10;99,844
bsif+mtcd;11x11;7;0,4;linear;10;99,844
bsif+mtcd;15x15;11;-;rbf;100;99,844
bsif+mtcd;15x15;11;0,8;rbf;100;99,844
bsif+mtcd;15x15;11;0,6;rbf;100;99,844
bsif+mtcd;15x15;11;0,4;rbf;100;99,844
bsif+mtcd;15x15;11;-;rbf;10;99,844
bsif+mtcd;15x15;11;0,8;rbf;10;99,844
bsif+mtcd;15x15;11;0,6;rbf;10;99,844
bsif+mtcd;15x15;11;0,4;rbf;10;99,844
bsif+mtcd;13x13;8;0,6;linear;100;99,844
bsif+mtcd;13x13;8;0,6;linear;1;99,844
bsif+mtcd;15x15;8;-;linear;100;99,844
bsif+mtcd;15x15;8;0,8;linear;100;99,844
bsif+mtcd;15x15;8;0,6;linear;100;99,844
bsif+mtcd;15x15;8;-;linear;10;99,844
bsif+mtcd;15x15;8;0,8;linear;10;99,844
bsif+mtcd;15x15;8;0,6;linear;10;99,844
bsif+mtcd;15x15;8;-;linear;1;99,844
bsif+mtcd;15x15;8;0,8;linear;1;99,844
bsif+mtcd;15x15;8;0,6;linear;1;99,844
bsif+mtcd;9x9;8;-;linear;100;99,844
bsif+mtcd;9x9;8;0,8;linear;100;99,844
bsif+mtcd;9x9;8;0,6;linear;100;99,844
bsif+mtcd;9x9;8;-;linear;10;99,844
bsif+mtcd;9x9;8;0,8;linear;10;99,844
bsif+mtcd;9x9;8;0,6;linear;10;99,844
bsif+mtcd;9x9;8;-;linear;1;99,844
bsif+mtcd;9x9;8;0,8;linear;1;99,844
bsif+mtcd;9x9;8;0,6;linear;1;99,844
bsif+mtcd;9x9;7;0,6;linear;100;99,844
bsif+mtcd;9x9;7;0,6;linear;1;99,844
bsif+mtcd;15x15;5;-;linear;100;99,844
bsif+mtcd;15x15;5;0,8;linear;100;99,844
bsif+mtcd;15x15;5;0,6;linear;100;99,844
bsif+mtcd;15x15;5;-;linear;10;99,844
bsif+mtcd;15x15;5;0,8;linear;10;99,844
bsif+mtcd;15x15;5;0,6;linear;10;99,844
bsif+mtcd;15x15;5;-;linear;1;99,844
bsif+mtcd;15x15;5;0,8;linear;1;99,844
bsif+mtcd;15x15;5;0,6;linear;1;99,844
bsif+mtcd;13x13;6;-;linear;100;99,844
bsif+mtcd;13x13;6;0,8;linear;100;99,844
bsif+mtcd;13x13;6;0,6;linear;100;99,844
bsif+mtcd;13x13;6;-;linear;10;99,844
bsif+mtcd;13x13;6;0,8;linear;10;99,844
bsif+mtcd;13x13;6;0,6;linear;10;99,844
bsif+mtcd;13x13;6;0,4;linear;10;99,844
bsif+mtcd;13x13;6;-;linear;1;99,844
bsif+mtcd;13x13;6;0,8;linear;1;99,844
bsif+mtcd;11x11;9;0,4;linear;100;99,844
bsif+mtcd;11x11;9;0,4;linear;10;99,844
bsif+mtcd;11x11;9;0,4;linear;1;99,844
bsif+mtcd;17x17;12;-;rbf;100;99,844
bsif+mtcd;17x17;12;0,8;rbf;100;99,844
bsif+mtcd;17x17;12;0,6;rbf;100;99,844
bsif+mtcd;17x17;12;-;rbf;10;99,844
bsif+mtcd;17x17;12;0,8;rbf;10;99,844
bsif+mtcd;17x17;12;0,6;rbf;10;99,844
bsif+mtcd;17x17;9;0,2;rbf;100;99,844
bsif+mtcd;17x17;9;0,2;rbf;10;99,844
bsif+mtcd;17x17;8;-;rbf;100;99,844
bsif+mtcd;17x17;8;0,8;rbf;100;99,844
bsif+mtcd;17x17;8;0,6;rbf;100;99,844
bsif+mtcd;17x17;8;0,4;rbf;100;99,844
bsif+mtcd;17x17;8;-;rbf;10;99,844
bsif+mtcd;17x17;8;0,8;rbf;10;99,844
bsif+mtcd;17x17;8;0,6;rbf;10;99,844
bsif+mtcd;17x17;8;0,4;rbf;10;99,844
bsif+mtcd;15x15;9;0,4;rbf;1;99,844
bsif+mtcd;15x15;6;-;linear;100;99,844
bsif+mtcd;15x15;6;0,8;linear;100;99,844
bsif+mtcd;15x15;6;0,6;linear;100;99,844
bsif+mtcd;15x15;6;0,4;linear;100;99,844
bsif+mtcd;15x15;6;-;linear;10;99,844
bsif+mtcd;15x15;6;0,8;linear;10;99,844
bsif+mtcd;15x15;6;0,6;linear;10;99,844
bsif+mtcd;15x15;6;0,4;linear;10;99,844
bsif+mtcd;15x15;6;-;linear;1;99,844
bsif+mtcd;15x15;6;0,8;linear;1;99,844
bsif+mtcd;15x15;6;0,6;linear;1;99,844
bsif+mtcd;15x15;6;0,4;linear;1;99,844
bsif+mtcd;13x13;9;-;rbf;100;99,844
bsif+mtcd;13x13;9;0,8;rbf;100;99,844
bsif+mtcd;13x13;9;0,6;rbf;100;99,844
bsif+mtcd;13x13;9;-;rbf;10;99,844
bsif+mtcd;13x13;9;0,8;rbf;10;99,844
bsif+mtcd;13x13;5;-;linear;100;99,844
bsif+mtcd;13x13;5;0,8;linear;100;99,844
bsif+mtcd;13x13;5;0,6;linear;100;99,844
bsif+mtcd;13x13;5;-;linear;10;99,844
bsif+mtcd;13x13;5;0,8;linear;10;99,844
bsif+mtcd;13x13;5;0,6;linear;10;99,844
bsif+mtcd;13x13;5;-;linear;1;99,844
bsif+mtcd;13x13;5;0,8;linear;1;99,844
bsif+mtcd;13x13;5;0,6;linear;1;99,844
bsif+mtcd;13x13;8;0,4;linear;100;99,844
bsif+mtcd;11x11;5;-;linear;100;99,844
bsif+mtcd;11x11;5;0,8;linear;100;99,844
bsif+mtcd;11x11;5;-;linear;10;99,844
bsif+mtcd;11x11;5;0,8;linear;10;99,844
bsif+mtcd;11x11;5;-;linear;1;99,844
bsif+mtcd;11x11;5;0,8;linear;1;99,844
bsif+mtcd;15x15;12;-;linear;100;99,844
bsif+mtcd;15x15;12;0,8;linear;100;99,844
bsif+mtcd;15x15;12;0,4;linear;100;99,844
bsif+mtcd;15x15;12;-;linear;10;99,844
bsif+mtcd;15x15;12;0,8;linear;10;99,844
bsif+mtcd;15x15;12;0,4;linear;10;99,844
bsif+mtcd;15x15;12;-;linear;1;99,844
bsif+mtcd;15x15;12;0,8;linear;1;99,844
bsif+mtcd;15x15;12;0,4;linear;1;99,844
bsif+mtcd;15x15;9;0,2;linear;100;99,792
bsif+mtcd;15x15;9;0,2;linear;1;99,792
bsif+mtcd;17x17;8;0,2;linear;100;99,792
bsif+mtcd;17x17;8;0,2;linear;10;99,792
bsif+mtcd;17x17;8;0,2;linear;1;99,792
bsif+mtcd;15x15;9;0,2;rbf;100;99,792
bsif+mtcd;15x15;9;0,2;rbf;10;99,792
bsif+mtcd;11x11;8;-;rbf;100;99,792
bsif+mtcd;11x11;8;0,8;rbf;100;99,792
bsif+mtcd;11x11;8;-;rbf;10;99,792
bsif+mtcd;11x11;8;0,8;rbf;10;99,792
bsif+mtcd;11x11;8;0,6;rbf;10;99,792
bsif+mtcd;17x17;9;-;rbf;100;99,792
bsif+mtcd;17x17;9;0,8;rbf;100;99,792
bsif+mtcd;17x17;9;0,6;rbf;100;99,792
bsif+mtcd;17x17;9;0,4;rbf;100;99,792
bsif+mtcd;17x17;9;-;rbf;10;99,792
bsif+mtcd;17x17;9;0,8;rbf;10;99,792
bsif+mtcd;17x17;9;0,6;rbf;10;99,792
bsif+mtcd;17x17;9;0,4;rbf;10;99,792
bsif+mtcd;11x11;10;-;rbf;100;99,792
bsif+mtcd;11x11;10;0,8;rbf;100;99,792
bsif+mtcd;11x11;10;0,6;rbf;100;99,792
bsif+mtcd;11x11;10;0,4;rbf;100;99,792
bsif+mtcd;11x11;10;-;rbf;10;99,792
bsif+mtcd;11x11;10;0,8;rbf;10;99,792
bsif+mtcd;11x11;10;0,6;rbf;10;99,792
bsif+mtcd;11x11;10;0,4;rbf;10;99,792
bsif+mtcd;17x17;12;0,4;rbf;100;99,792
bsif+mtcd;17x17;12;0,4;rbf;10;99,792
bsif+mtcd;15x15;10;0,2;rbf;1;99,792
